GEO,GEO_OBJECT,FREQ,RP_MEASURE,OCS,OBS_STATUS,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
47001,COM,A,POP,_T,A,NR,2017,33576.0
47001,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,17721.79439
47001,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,1289.55644
47001,COM,A,DWELLINGS,DW_VAC,A,NR,2023,3170.40558
47001,COM,A,DWELLINGS,_T,A,NR,2023,22181.75641
47001,COM,A,POP,_T,A,NR,2023,32801.0
47157,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,8896.32371
47157,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,172.43948
47157,COM,A,DWELLINGS,DW_VAC,A,NR,2017,1133.61513
47157,COM,A,DWELLINGS,_T,A,NR,2017,10202.37833
47157,COM,A,POP,_T,A,NR,2017,17691.0
47157,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,9094.66291
47157,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,330.19072
47157,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1297.99599
47157,COM,A,DWELLINGS,_T,A,NR,2023,10722.84962
47157,COM,A,POP,_T,A,NR,2023,17328.0
47323,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,11045.74682
47323,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,266.45903
47323,COM,A,DWELLINGS,DW_VAC,A,NR,2017,1822.30015
47323,COM,A,DWELLINGS,_T,A,NR,2017,13134.50601
47323,COM,A,POP,_T,A,NR,2017,22064.0
47323,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,11480.103
47323,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,298.97357
47323,COM,A,DWELLINGS,DW_VAC,A,NR,2023,1872.34325
47323,COM,A,DWELLINGS,_T,A,NR,2023,13651.41982
47323,COM,A,POP,_T,A,NR,2023,22350.0
79191,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,30425.72533
79191,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,923.45316
79191,COM,A,DWELLINGS,DW_VAC,A,NR,2017,3051.70916
79191,COM,A,DWELLINGS,_T,A,NR,2017,34400.88764
79191,COM,A,POP,_T,A,NR,2017,58707.0
79191,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,31732.02278
79191,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,1168.83178
79191,COM,A,DWELLINGS,DW_VAC,A,NR,2023,2843.7328
79191,COM,A,DWELLINGS,_T,A,NR,2023,35744.58735
79191,COM,A,POP,_T,A,NR,2023,59854.0
86066,COM,A,DWELLINGS,DW_MAIN,A,NR,2017,15732.79403
86066,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2017,403.7706
86066,COM,A,DWELLINGS,DW_VAC,A,NR,2017,2234.04353
86066,COM,A,DWELLINGS,_T,A,NR,2017,18370.60816
86066,COM,A,POP,_T,A,NR,2017,31840.0
86066,COM,A,DWELLINGS,DW_MAIN,A,NR,2023,15894.12366
86066,COM,A,DWELLINGS,DW_SEC_DW_OCC,A,NR,2023,509.00713
86066,COM,A,DWELLINGS,DW_VAC,A,NR,2023,2290.33638
86066,COM,A,DWELLINGS,_T,A,NR,2023,18693.46717
86066,COM,A,POP,_T,A,NR,2023,31003.0
