"DEPCOM","millesime","nb_logt_total","nb_ls_actif","nb_ls_qpv","nb_ls_coll","nb_ls_ind","nb_ls_etu","nb_ls_loue","nb_ls_vacant","nb_ls_vacant_3","nb_ls_vide","nb_ls_association","nb_ls_autre","num_mob","denom_mob","nb_mes","nb_ls_age_0_5","nb_ls_age_5_10","nb_ls_age_10_20","nb_ls_age_20_40","nb_ls_age_40_60","nb_ls_age_60_plus","nb_ls_dpe_realise","nb_ls_dpe_new_ener_A","nb_ls_dpe_new_ener_B","nb_ls_dpe_new_ener_C","nb_ls_dpe_new_ener_D","nb_ls_dpe_new_ener_E","nb_ls_dpe_new_ener_F","nb_ls_dpe_new_ener_G","somme_loyer","somme_surface"
"31421",2025,357,340,0,159,181,0,335,2,0,3,0,0,34,285,52,164,0,71,103,0,2,330,100,80,50,16,1,0,0,161832,22088
"31424",2025,1644,1557,0,1124,433,0,1508,29,12,12,3,5,115,1500,37,302,233,528,409,57,28,1505,108,83,425,132,14,0,0,743351,99732
"31427",2025,12,12,0,0,12,0,12,0,0,0,0,0,0,12,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,5680,896
"31429",2025,62,62,0,50,12,0,62,0,0,0,0,0,1,62,0,34,12,4,0,0,12,28,0,2,19,3,0,0,0,28113,4280
"31432",2025,4,4,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,1,2,1,1352,219
"31433",2025,775,760,0,247,513,0,731,9,2,20,0,0,27,687,53,72,34,88,424,128,14,758,55,54,312,233,16,0,0,380372,52721
"31435",2025,6,6,0,0,6,0,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3082,500
"31442",2025,4,4,0,0,4,0,4,0,0,0,0,0,1,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2099,348
"31445",2025,383,383,0,289,94,0,378,4,1,1,0,0,42,360,22,111,41,133,75,0,23,381,55,24,36,20,4,0,0,167440,21348
"31446",2025,1616,1616,0,1461,56,99,1475,9,2,15,14,103,94,1467,17,112,171,621,335,377,0,1490,40,91,380,76,10,2,0,757153,99410
"31451",2025,436,436,0,237,199,0,425,4,2,1,1,5,42,429,0,36,0,157,96,106,41,436,36,12,271,3,2,6,0,188981,30680
"31454",2025,127,127,0,38,89,0,123,2,1,1,0,1,12,125,0,0,48,21,19,39,0,127,0,8,17,43,9,0,0,48766,8044
"31455",2025,65,65,0,51,14,0,58,1,0,0,5,1,6,59,0,6,0,0,0,21,38,59,0,0,45,14,0,0,0,23871,3736
"31458",2025,416,344,0,264,80,0,340,3,1,1,0,0,36,343,0,91,113,114,15,0,11,334,50,12,38,36,4,1,0,152912,21267
"31460",2025,272,255,0,148,107,0,248,5,1,0,0,2,26,253,0,6,45,143,61,0,0,254,2,41,40,33,9,0,0,125081,17214
"31461",2025,17,17,0,0,17,0,17,0,0,0,0,0,3,17,0,0,0,0,17,0,0,16,0,0,7,0,1,0,0,8056,1232
"31462",2025,41,41,0,41,0,0,40,1,0,0,0,0,4,20,21,21,20,0,0,0,0,41,21,0,0,13,4,0,0,16534,1845
"31467",2025,671,657,0,440,217,0,619,5,2,26,2,5,57,612,12,126,278,0,146,62,45,570,34,22,226,5,0,0,0,285390,41605
"31471",2025,4,4,0,0,4,0,3,1,1,0,0,0,1,4,0,0,0,0,0,4,0,4,0,0,0,0,1,2,0,2014,297
"31475",2025,21,21,0,5,16,0,21,0,0,0,0,0,1,15,6,11,3,6,0,1,0,15,1,4,0,0,0,0,0,9940,1548
"31476",2025,20,20,0,0,20,0,20,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0,20,0,0,0,0,0,10320,1577
"31480",2025,100,100,0,72,28,0,100,0,0,0,0,0,9,80,20,50,34,16,0,0,0,80,0,0,12,5,0,0,0,42693,6372
"31481",2025,13,13,0,3,10,0,13,0,0,0,0,0,1,13,0,0,0,0,10,0,3,13,0,0,5,1,0,0,0,6073,899
"31483",2025,699,574,288,286,288,0,514,12,5,1,46,1,43,525,1,0,0,172,260,116,26,553,0,16,257,76,12,3,8,230924,37284
"31484",2025,51,51,0,12,39,0,50,1,0,0,0,0,2,51,0,0,0,21,30,0,0,30,0,0,5,3,0,0,0,25761,3644
"31486",2025,49,49,0,16,33,0,47,2,0,0,0,0,3,49,0,5,44,0,0,0,0,21,0,4,1,0,0,0,0,21503,3493
"31488",2025,843,843,0,654,189,0,822,10,3,8,1,2,70,803,29,31,248,282,281,0,1,768,20,64,112,82,1,0,0,411092,52002
"31490",2025,1177,1092,0,881,211,0,1041,15,1,31,1,4,130,961,98,483,457,62,36,0,54,1014,33,137,482,14,7,0,0,484150,66411
"31495",2025,18,18,0,4,14,0,18,0,0,0,0,0,3,18,0,0,0,18,0,0,0,18,0,0,5,1,0,0,0,8688,1378
"31497",2025,48,48,0,30,18,0,47,1,0,0,0,0,0,34,14,14,9,25,0,0,0,23,14,0,0,0,0,0,0,25162,3071
"31499",2025,587,587,0,306,281,0,574,8,3,4,1,0,52,578,4,141,122,127,73,100,24,530,28,47,74,22,8,0,0,258414,39498
"31503",2025,35,35,0,33,2,0,17,1,1,0,0,17,2,18,0,0,0,0,5,29,1,35,0,0,2,31,2,0,0,6893,1204
"31506",2025,1243,1234,0,1029,205,0,1178,5,0,12,33,6,62,1148,35,303,465,196,238,32,0,1176,134,109,339,39,1,1,0,554144,74658
"31507",2025,104,104,0,28,76,0,103,1,1,0,0,0,13,104,0,0,52,34,18,0,0,79,0,1,9,10,0,1,0,51725,8103
